curveType,secparam,n,d,roundCount,isSystemValid,isSchemeCorrect,Setup (s),EKGen (s),DKGen (s),Encryption (s),Decryption (s),elementOfZR (B),elementOfG1G2 (B),elementOfGT (B),mpk (B),msk (B),ek_S_A (B),dk_SBPA (B),CT (B)
SS512,224,30,5,1,True,True,0.073129643,0.853614528,6.794317818,2.319484482,0.080704563,30,90,174,6586,180,5400,27000,14034
SS512,224,30,10,1,True,True,0.069136751,0.831011728,6.886313433,2.465242212,0.068919130,30,90,174,6586,180,5400,27000,14034
SS512,224,30,15,1,True,True,0.063295990,0.798048767,7.278515119,2.743382063,0.090726344,30,90,174,6586,180,5400,27000,14034
SS512,224,30,20,1,True,True,0.069637974,1.039328203,7.436308109,2.426114711,0.114848759,30,90,174,6586,180,5400,27000,14034
SS512,224,30,25,1,True,True,0.066307975,0.851665718,5.884881071,2.332609077,0.080489297,30,90,174,6586,180,5400,27000,14034
SS512,256,10,5,1,True,True,0.041373945,0.139617945,1.047402817,0.403186529,0.033246548,30,90,174,2990,180,1800,9000,5034
SS512,256,15,5,1,True,True,0.050219754,0.223737430,1.860317341,0.645504940,0.033821578,30,90,174,3890,180,2700,13500,7284
SS512,256,15,10,1,True,True,0.035113581,0.286432467,2.407853305,0.963171763,0.047049809,30,90,174,3890,180,2700,13500,7284
SS512,256,20,5,1,True,True,0.063484153,0.454251764,3.461745107,1.278159083,0.059647343,30,90,174,4790,180,3600,18000,9534
SS512,256,20,10,1,True,True,0.084149725,0.389440802,3.397453374,1.460266667,0.052273423,30,90,174,4790,180,3600,18000,9534
SS512,256,20,15,1,True,True,0.046363144,0.368162930,2.859641881,1.215667058,0.059711997,30,90,174,4790,180,3600,18000,9534
SS512,256,25,5,1,True,True,0.063036528,0.699277461,5.015528695,2.151599956,0.093828505,30,90,174,5690,180,4500,22500,11784
SS512,256,25,10,1,True,True,0.082958776,0.594954273,6.166659362,1.895872143,0.078162169,30,90,174,5690,180,4500,22500,11784
SS512,256,25,15,1,True,True,0.061811028,0.545672320,5.455688478,1.637714725,0.066339215,30,90,174,5690,180,4500,22500,11784
SS512,256,25,20,1,True,True,0.055861624,0.507986933,3.744330132,1.616581554,0.064399919,30,90,174,5690,180,4500,22500,11784
SS512,256,30,5,1,True,True,0.083316595,1.018462322,7.110177129,2.773723497,0.090153145,30,90,174,6590,180,5400,27000,14034
SS512,256,30,10,1,True,True,0.090771680,0.907982507,6.992675864,2.655265727,0.071929917,30,90,174,6590,180,5400,27000,14034
SS512,256,30,15,1,True,True,0.069377627,0.821683580,7.142451692,2.607977920,0.101232144,30,90,174,6590,180,5400,27000,14034
SS512,256,30,20,1,True,True,0.066775362,0.921250151,7.599991984,3.004039964,0.080779761,30,90,174,6590,180,5400,27000,14034
SS512,256,30,25,1,True,True,0.071783848,0.911570191,7.138405736,2.564607222,0.081944910,30,90,174,6590,180,5400,27000,14034
SS512,384,10,5,1,True,True,0.026127448,0.195806161,1.372461710,0.541024728,0.049311111,30,90,174,3006,180,1800,9000,5034
SS512,384,15,5,1,True,True,0.052942959,0.207415945,2.047521464,0.802308448,0.060700621,30,90,174,3906,180,2700,13500,7284
SS512,384,15,10,1,True,True,0.069548887,0.259124992,1.576889671,0.710005958,0.054119999,30,90,174,3906,180,2700,13500,7284
SS512,384,20,5,1,True,True,0.056199946,0.455513995,3.052764236,1.387099260,0.082472060,30,90,174,4806,180,3600,18000,9534
SS512,384,20,10,1,True,True,0.066747245,0.366723433,3.037799639,1.100254599,0.050555456,30,90,174,4806,180,3600,18000,9534
SS512,384,20,15,1,True,True,0.046829046,0.364956548,2.975818086,1.416817686,0.111251534,30,90,174,4806,180,3600,18000,9534
SS512,384,25,5,1,True,True,0.117742858,0.551792872,5.641152271,1.778252884,0.062881220,30,90,174,5706,180,4500,22500,11784
SS512,384,25,10,1,True,True,0.089210962,0.621728151,5.137398691,1.585451427,0.062536812,30,90,174,5706,180,4500,22500,11784
SS512,384,25,15,1,True,True,0.062051702,0.742161778,4.838002710,1.914837370,0.060361395,30,90,174,5706,180,4500,22500,11784
SS512,384,25,20,1,True,True,0.053394221,0.481415774,4.333708762,1.622744863,0.069897058,30,90,174,5706,180,4500,22500,11784
SS512,384,30,5,1,True,True,0.074177107,0.727975818,5.139659472,2.041615698,0.086839439,30,90,174,6606,180,5400,27000,14034
SS512,384,30,10,1,True,True,0.078058595,0.593066114,5.807093393,2.129594903,0.097196436,30,90,174,6606,180,5400,27000,14034
SS512,384,30,15,1,True,True,0.084384765,0.746102231,6.565531393,2.544805042,0.088732665,30,90,174,6606,180,5400,27000,14034
SS512,384,30,20,1,True,True,0.063143329,0.624315890,5.645087511,2.233481694,0.095898669,30,90,174,6606,180,5400,27000,14034
SS512,384,30,25,1,True,True,0.068390728,0.524247066,7.564046480,2.636757767,0.111303515,30,90,174,6606,180,5400,27000,14034
SS512,512,10,5,1,True,True,0.035632254,0.190422012,1.119511325,0.448468933,0.035787589,30,90,174,3022,180,1800,9000,5034
SS512,512,15,5,1,True,True,0.037971218,0.282732275,2.142770309,0.726918586,0.047464423,30,90,174,3922,180,2700,13500,7284
SS512,512,15,10,1,True,True,0.037531534,0.378803711,2.165743420,0.856059679,0.074646098,30,90,174,3922,180,2700,13500,7284
SS512,512,20,5,1,True,True,0.064381699,0.417717835,3.886961134,1.297523160,0.049557891,30,90,174,4822,180,3600,18000,9534
SS512,512,20,10,1,True,True,0.087890247,0.521568266,3.377976061,0.977942277,0.060928782,30,90,174,4822,180,3600,18000,9534
SS512,512,20,15,1,True,True,0.043515858,0.310547586,2.790407955,1.088074985,0.070730377,30,90,174,4822,180,3600,18000,9534
SS512,512,25,5,1,True,True,0.064966222,0.452172274,4.836362503,1.728110082,0.077097256,30,90,174,5722,180,4500,22500,11784
SS512,512,25,10,1,True,True,0.069129751,0.553811352,3.982985375,1.638500874,0.095474390,30,90,174,5722,180,4500,22500,11784
SS512,512,25,15,1,True,True,0.060643827,0.559730963,4.950203434,1.786091089,0.072658194,30,90,174,5722,180,4500,22500,11784
SS512,512,25,20,1,True,True,0.054779196,0.581064752,4.271725957,1.663424788,0.064786909,30,90,174,5722,180,4500,22500,11784
SS512,512,30,5,1,True,True,0.070366697,0.848416732,6.133294121,2.441046431,0.089275854,30,90,174,6622,180,5400,27000,14034
SS512,512,30,10,1,True,True,0.088053768,0.873185212,7.138358064,2.671901620,0.118627526,30,90,174,6622,180,5400,27000,14034
SS512,512,30,15,1,True,True,0.086510495,0.871038657,5.283853256,2.101461248,0.094082046,30,90,174,6622,180,5400,27000,14034
SS512,512,30,20,1,True,True,0.072680824,1.013710260,6.424401303,2.869408114,0.083884014,30,90,174,6622,180,5400,27000,14034
